Mg25_ppm,P31_ppm,Sr88_ppm,Y89_ppm,Ba137_ppm,Pb208_ppm,U238_ppm,dft_mm,Age_cal_yr_bp
975.470463,48.02671703,22.78784704,0.071878166,7.319219902,0.04,0.135705567,33.05662567,65347
896.8351081,52.74551899,20.97951244,0.052470043,6.764049219,0.04,0.235442356,33.08266122,65349
895.465073,47.04466686,19.67851119,0.060055955,6.434872653,0.04,0.165362969,33.10869678,65350
922.2641497,35.61346236,22.08301988,0.050582442,7.599852408,0.04,0.051204781,33.13400918,65351
865.7101107,40.90688717,22.35237656,0.041063819,8.25023715,0.04,0.089842357,33.15932144,65351
798.9921691,63.69090343,20.5222381,0.060965013,7.5061858,0.04,0.092890896,33.185357,65353
819.4070991,73.41886204,19.38735911,0.09596973,6.961427115,0.04,0.104796986,33.21066929,65353
901.9559989,58.10016527,20.39731521,0.097133678,7.350931237,0.04,0.096360799,33.23598178,65354
932.9157769,40.35996763,22.15521594,0.047646889,7.810107386,0.04,0.075015816,33.26201733,65356
869.4896442,47.20827073,20.78013135,0.030405481,7.202781341,0.04,0.094057535,33.28805289,65357
864.0981919,52.31891035,19.07412766,0.041653796,7.147839463,0.04,0.096539323,33.31336518,65358
903.2961851,42.41486662,20.92603553,0.026005217,7.420607263,0.04,0.07697513,33.33867756,65358
900.3549267,41.91563494,21.13138511,0.012443769,6.765922089,0.04,0.059659173,33.36471311,65360
897.3089237,43.53940555,21.46662716,0.018795838,6.786806073,0.04,0.067085054,33.39002541,65360
875.714939,37.33638689,24.23652699,0.009588458,8.045779829,0.04,0.076028147,33.41533789,65361
811.5704332,41.25319363,23.38929681,0.019115098,8.084512857,0.04,0.10699732,33.44137344,65363
786.0466735,55.123778,19.7118653,0.047760521,6.678597156,0.04,0.082363009,33.46740889,65364
845.0800501,79.88318006,18.82945093,0.104576322,7.401894495,0.318943263,0.203240911,33.49272118,65365
891.9691113,83.53055083,22.08072595,0.118575935,8.973389555,0.867073569,0.287748691,33.51803367,65365
927.7817794,57.2597156,28.38716518,0.093054089,9.307767717,0.357125623,0.38227252,33.54406922,65367
879.9670709,43.77634655,30.96351387,0.083096301,8.958080428,0.04,0.339654786,33.56938153,65367
811.2812454,59.90316854,28.20443245,0.121031478,9.135164867,0.099023584,0.343418999,33.594694,65368
812.4784748,65.30395799,23.08730517,0.10599426,8.144433009,0.04,0.238761121,33.62072944,65370
887.5655916,76.94633715,20.25740711,0.148492849,7.414414945,0.04,0.236414692,33.646765,65371
928.4457844,70.28070716,21.57715725,0.122398058,7.694061872,0.357063467,0.184629245,33.67207729,65372
929.0085619,59.32752508,21.44847003,0.132535375,8.605690274,1.628340558,0.194165289,33.69738978,65372
1009.83364,57.15066963,19.12294445,0.177722701,7.999381835,1.459702997,0.179025841,33.72342533,65374
1064.051914,60.69270913,20.02012003,0.162381779,6.982215868,0.244028009,0.239410431,33.74873753,65374
1008.743567,58.96658162,20.90603342,0.067694327,7.033373645,0.251260601,0.282164673,33.77405,65375
954.7302611,67.65114288,23.14757939,0.086413178,8.146393938,0.26397349,0.264772898,33.80008556,65377
938.7143963,65.94484703,24.45114448,0.078288768,8.218674993,0.04,0.165795597,33.82612111,65378
948.6787012,57.31989558,20.98895546,0.079684583,7.370391354,0.04,0.109234502,33.85143341,65379
1018.697682,47.02710829,17.29826992,0.091325957,6.035978871,0.04,0.065670384,33.87674589,65379
1051.445302,47.58633893,17.55530181,0.074804272,5.084250009,0.04,0.072174333,33.90278133,65381
1067.810625,51.27490069,16.65545352,0.11817453,4.961453489,0.04,0.110443803,33.92809365,65382
1085.329614,59.99290106,17.89882907,0.164988676,5.295685903,0.360266502,0.110457075,33.953406,65382
1073.021789,57.22558508,19.00532667,0.111655829,5.723390982,0.694302966,0.086042705,33.97944167,65384
1028.773892,56.29690103,18.721836,0.060966207,6.448261601,0.24611447,0.074868097,34.004754,65384
1054.801879,69.73299126,18.74121155,0.104525389,6.521141305,0.04,0.079280761,34.03006633,65385
1087.074046,71.84711212,18.43007051,0.10738911,5.372549836,0.04,0.074411777,34.05610189,65386
1063.988978,55.71344951,17.95789876,0.073830495,5.527147947,0.04,0.121538613,34.08213744,65388
1045.498763,53.57010846,17.34077335,0.069239917,6.655458264,0.04,0.121794521,34.10744976,65389
